PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Benavent, Enrique; Corberan, Angel; Plana, Isaac; Maria Sanchis, Jose						Corberan, A; Laporte, G		Arc Routing Problems with Min-Max Objectives								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				255	280							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100012		
J	Benavent, Enrique; Corberan, Angel; Desaulniers, Guy; Lessard, Francois; Plana, Isaac; Sanchis, Jose M.				Plana, Isaac/H-6656-2015; Benavent, Enrique/H-5884-2015; SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122; Desaulniers, Guy/0000-0003-4469-9813; Corberan, Angel/0000-0002-0664-4232			A Branch-Price-and-Cut Algorithm for the Min-Max k-Vehicle Windy Rural Postman Problem								NETWORKS				63	1			34	45		10.1002/net.21520					JAN 2014	2014																		0028-3045	1097-0037		WOS:000327733000004		
J	Benavent, Enrique; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				Benavent, Enrique/H-5884-2015; Corberan, Angel/K-2435-2014; Plana, Isaac/H-6656-2015; SANCHIS, JOSE M/H-5912-2015	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122; Corberan, Angel/0000-0002-0664-4232			New Facets and an Enhanced Branch-and-Cut for the Min-Max K-Vehicles Windy Rural Postman Problem								NETWORKS				58	4	SI		255	272		10.1002/net.20469					NOV 2011	2011																		0028-3045			WOS:000297413900003		
J	Benavent, Enrique; Corberan, Angel; Gouveia, Luis; Mourao, Maria Candida; Pinto, Leonor Santiago				Mourao, Maria Candida/P-4585-2016; Corberan, Angel/K-2435-2014; , CMAFcIO/N-7922-2019; Benavent, Enrique/H-5884-2015; Gouveia, Luis/M-3978-2017	Mourao, Maria Candida/0000-0002-3891-6730; Gouveia, Luis/0000-0003-4393-1617; Santiago Pinto, Leonor/0000-0002-2180-1953			Profitable mixed capacitated arc routing and related problems								TOP				23	1			244	274		10.1007/s11750-014-0336-x					APR 2015	2015																		1134-5764	1863-8279		WOS:000351449400015		
J	Beraldi, Patrizia; Bruni, Maria Elena; Lagana, Demetrio; Musmanno, Roberto				Beraldi, Patrizia/I-9459-2016; Lagana, Demetrio/Q-3039-2016; Maria Elena, Bruni/H-2531-2017	Beraldi, Patrizia/0000-0002-1672-4033; Lagana, Demetrio/0000-0003-2618-6715; 			The mixed capacitated general routing problem under uncertainty								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				240	2			382	392		10.1016/j.ejor.2014.07.023					JAN 16 2015	2015																		0377-2217	1872-6860		WOS:000343347300009		
J	Berktas, Nihal; Kara, Bahar Yetis; Karasan, Oya Ekin								Solution methodologies for debris removal in disaster response								EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION				4	3-4	SI					10.1007/s13675-016-0063-1					SEP 2016	2016																		2192-4406	2192-4414		WOS:000409462500009		
J	Black, Dan; Eglese, Richard; Wohlk, Sanne					Wohlk, Sanne/0000-0003-3847-7528; Eglese, Richard William/0000-0003-2781-9828			The time-dependent prize-collecting arc routing problem								COMPUTERS & OPERATIONS RESEARCH				40	2			526	535		10.1016/j.cor.2012.08.001					FEB 2013	2013																		0305-0548			WOS:000311533900002		
J	Blazquez, Carola A.; Beghelh, Alejandra; Meneses, Veronica P.								A novel methodology for determining low-cost fine particulate matter street sweeping routes								JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION				62	2			242	251		10.1080/10473289.2011.646048					FEB 2012	2012																		1096-2247	2162-2906		WOS:000300196800011	22442940	
J	Bode, Claudia; Irnich, Stefan					Irnich, Stefan/0000-0001-9383-4546			The shortest-path problem with resource constraints with (k, 2)-loop elimination and its application to the capacitated arc-routing problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				238	2			415	426		10.1016/j.ejor.2014.04.004					OCT 16 2014	2014																		0377-2217	1872-6860		WOS:000337852900003		
J	Bode, Claudia; Irnich, Stefan					Irnich, Stefan/0000-0001-9383-4546			Cut-First Branch-and-Price-Second for the Capacitated Arc-Routing Problem								OPERATIONS RESEARCH				60	5			1167	1182		10.1287/opre.1120.1079					SEP-OCT 2012	2012																		0030-364X			WOS:000310926500012		
J	Bode, Claudia; Irnich, Stefan					Irnich, Stefan/0000-0001-9383-4546			In-Depth Analysis of Pricing Problem Relaxations for the Capacitated Arc-Routing Problem								TRANSPORTATION SCIENCE				49	2			369	383		10.1287/trsc.2013.0507					MAY 2015	2015																		0041-1655			WOS:000354704200014		
