PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BARAHONA, F; GROTSCHEL, M								ON THE CYCLE POLYTOPE OF A BINARY MATROID								JOURNAL OF COMBINATORIAL THEORY SERIES B				40	1			40	62		10.1016/0095-8956(86)90063-8					FEB 1986	1986																		0095-8956	1096-0902		WOS:A1986A609900004		
J	Bautista, Joaquin; Fernandez, Elena; Pereira, Jordi				Fernandez, Elena/E-1799-2012; Bautista, Joaquin/K-7146-2014	Fernandez, Elena/0000-0003-4714-0257; Bautista, Joaquin/0000-0002-2214-4991; Pereira, Jordi/0000-0002-1736-3575			Solving an urban waste collection problem using ants heuristics								COMPUTERS & OPERATIONS RESEARCH				35	9			3020	3033		10.1016/j.cor.2007.01.029					SEP 2008	2008																		0305-0548	1873-765X		WOS:000253801400021		
J	BEASLEY, JE				Beasley, John/A-7471-2008	Beasley, John/0000-0002-4758-9970			ROUTE 1ST - CLUSTER 2ND METHODS FOR VEHICLE-ROUTING								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				11	4			403	408		10.1016/0305-0483(83)90033-6					1983	1983																		0305-0483			WOS:A1983RC13600009		
J	Belenguer, JM; Benavent, E				Benavent, Enrique/H-5884-2015; Belenguer, Jose Manuel/L-3049-2014	Belenguer, Jose Manuel/0000-0002-4604-2789			The capacitated arc routing problem: Valid inequalities and facets								COMPUTATIONAL OPTIMIZATION AND APPLICATIONS				10	2			165	187		10.1023/A:1018316919294					MAY 1998	1998																		0926-6003			WOS:000072813500004		
J	Belenguer, JM; Benavent, E; Lacomme, P; Prins, C				Philippe, Lacomme PL/I-8459-2016; Benavent, Enrique/H-5884-2015; Belenguer, Jose Manuel/L-3049-2014	Philippe, Lacomme PL/0000-0001-6328-9479; Belenguer, Jose Manuel/0000-0002-4604-2789			Lower and upper bounds for the mixed capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				33	12			3363	3383		10.1016/j.cor.2005.02.009					DEC 2006	2006																		0305-0548			WOS:000238606300002		
J	Belenguer, JM; Benavent, E				Belenguer, Jose Manuel/L-3049-2014; Benavent, Enrique/H-5884-2015	Belenguer, Jose Manuel/0000-0002-4604-2789; 			A cutting plane algorithm for the capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				30	5			705	728	PII S0305-0548(02)00046-1	10.1016/S0305-0548(02)00046-1					APR 2003	2003																		0305-0548			WOS:000180519500005		
J	Benavent, E; Corberan, A; Pinana, E; Plana, I; Sanchis, JM				Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015; Pinana Manuel, Estefania/H-5195-2015; Benavent, Enrique/H-5884-2015; Plana, Isaac/H-6656-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Pinana Manuel, Estefania/0000-0002-4265-3945; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232			New heuristic algorithms for the windy rural postman problem								COMPUTERS & OPERATIONS RESEARCH				32	12			3111	3128		10.1016/j.cor.2004.04.007					DEC 2005	2005																		0305-0548	1873-765X		WOS:000231107100003		
J	Benavent, E; Soler, D				Soler, David/K-2872-2014; Benavent, Enrique/H-5884-2015	Soler, David/0000-0002-7707-1646; 			The directed rural postman problem with turn penalties								TRANSPORTATION SCIENCE				33	4			408	418		10.1287/trsc.33.4.408					NOV 1999	1999																		0041-1655			WOS:000083806000006		
J	Benavent, Enrique; Carrotta, Alessandro; Corberan, Angel; Sanchis, Jose M.; Vigo, Daniele				SANCHIS, JOSE M/H-5912-2015; Benavent, Enrique/H-5884-2015; Vigo, Daniele/K-3979-2013; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Vigo, Daniele/0000-0002-1499-8452; Corberan, Angel/0000-0002-0664-4232			Lower bounds and heuristics for the Windy Rural Postman Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				176	2			855	869		10.1016/j.ejor.2005.09.021					JAN 16 2007	2007																		0377-2217	1872-6860		WOS:000241709800012		
J	Beullens, P; Muyldermans, L; Cattrysse, D; Van Oudheusden, D					Cattrysse, Dirk/0000-0002-3421-888X			A guided local search heuristic for the capacitated arc routing problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				147	3			629	643		10.1016/S0377-2217(02)00334-X					JUN 16 2003	2003																		0377-2217			WOS:000181578300013		
J	Blais, M; Laporte, G								Exact solution of the generalized routing problem through graph transformations								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				54	8			906	910		10.1057/palgrave.jors.2601590					AUG 2003	2003																		0160-5682	1476-9360		WOS:000184446100012		
J	BODIN, L; GOLDEN, B; ASSAD, A; BALL, M				Ball, Michael/O-1937-2018	Ball, Michael/0000-0003-2757-8569			SPECIAL ISSUE - ROUTING AND SCHEDULING OF VEHICLES AND CREWS - THE STATE OF THE ART								COMPUTERS & OPERATIONS RESEARCH				10	2			63	211							1983	1983																		0305-0548	1873-765X		WOS:A1983QW08300001		
J	Brandao, Jose; Eglese, Richard				EEG, Universidade Minho/F-9143-2010; Brandao, Jose/D-3456-2011	Brandao, Jose/0000-0002-6276-3957; Eglese, Richard William/0000-0003-2781-9828			A deterministic tabu search algorithm for the capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				35	4			1112	1126		10.1016/j.cor.2006.07.007					APR 2008	2008																		0305-0548	1873-765X		WOS:000251006500008		
J	Cabral, EA; Gendreau, M; Ghiani, G; Laporte, G				Gendreau, Michel/M-6235-2018; Gendreau, Michel/N-7950-2019	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648; GHIANI, Gianpaolo/0000-0002-5243-1799			Solving the hierarchical Chinese postman problem as a rural postman problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				155	1			44	50		10.1016/S0377-2217(02)00813-5					MAY 16 2004	2004																		0377-2217	1872-6860		WOS:000188508900003		
J	Caprara, A; Fischetti, M; Letchford, AN					Letchford, Adam/0000-0002-3191-5006			On the separation of maximally violated mod-k cuts								MATHEMATICAL PROGRAMMING				87	1			37	56		10.1007/s101079900107					JAN 2000	2000																		0025-5610			WOS:000084945300002		
J	Caprara, A; Fischetti, M								{0,1/2}-Chvatal-Gomory cuts								MATHEMATICAL PROGRAMMING				74	3			221	235		10.1007/BF02592196					SEP 30 1996	1996																		0025-5610			WOS:A1996VH12500001		
J	Chu, F; Labadi, N; Prins, C				Chu, Feng/B-3680-2013	Chu, Feng/0000-0003-1225-8319			A Scatter Search for the Periodic Capacitated Arc Routing Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				169	2			586	605		10.1016/j.ejor.2004.08.017					MAR 1 2005	2005																		0377-2217			WOS:000232583700015		
J	Chu, F; Labadi, N; Prins, C				Chu, Feng/B-3680-2013	PRINS, Christian/0000-0002-0184-0357; Chu, Feng/0000-0003-1225-8319			Heuristics for the periodic capacitated arc routing problem								JOURNAL OF INTELLIGENT MANUFACTURING				16	2			243	251		10.1007/s10845-004-5892-8					APR 2005	2005						International Conference on Production Systems Design Supply Chain Management and LogisticsInternational Conference on Production Systems Design Supply Chain Management and Logistics	OCT, 2002OCT, 2002		Miedzyzdroje, POLANDMiedzyzdroje, POLAND									0956-5515			WOS:000227071000009		
J	Clossey, J; Laporte, G; Soriano, P								Solving arc routing problems with turn penalties								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				52	4			433	439		10.1057/palgrave.jors.2601052					APR 2001	2001																		0160-5682	1476-9360		WOS:000167631800007		
J	Corberan, A; Marti, R; Martinez, E; Soler, D				Martinez, Eulalia/K-7913-2014; Corberan, Angel/K-2435-2014; Marti, Rafael/K-4732-2014; Soler, David/K-2872-2014	Martinez, Eulalia/0000-0003-2869-4334; Marti, Rafael/0000-0001-7265-823X; Soler, David/0000-0002-7707-1646			The Rural Postman Problem on mixed graphs with turn penalties								COMPUTERS & OPERATIONS RESEARCH				29	7			887	903		10.1016/S0305-0548(00)00091-5					JUN 2002	2002																		0305-0548			WOS:000173749700007		
J	Corberan, A; Marti, R; Romero, A				Marti, Rafael/K-4732-2014; Corberan, Angel/K-2435-2014	Marti, Rafael/0000-0001-7265-823X; Corberan, Angel/0000-0002-0664-4232			Heuristics for the mixed Rural Postman Problem								COMPUTERS & OPERATIONS RESEARCH				27	2			183	203		10.1016/S0305-0548(99)00031-3					FEB 2000	2000																		0305-0548	1873-765X		WOS:000084433000006		
J	Corberan, A; Marti, R; Sanchis, JM				Corberan, Angel/K-2435-2014; Marti, Rafael/K-4732-2014; SANCHIS, JOSE M/H-5912-2015	Marti, Rafael/0000-0001-7265-823X; SANCHIS, JOSE M/0000-0002-0039-8122			A GRASP heuristic for the mixed Chinese postman problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				142	1			70	80	PII S0377-2217(01)00296-X	10.1016/S0377-2217(01)00296-X					OCT 1 2002	2002																		0377-2217	1872-6860		WOS:000177306700006		
J	Corberan, A; Romero, A; Sanchis, JM				SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; 			The mixed general routing polyhedron								MATHEMATICAL PROGRAMMING				96	1			103	137		10.1007/s10107-003-0391-9					APR 2003	2003																		0025-5610	1436-4646		WOS:000182784600005		
J	Corberan, A; Letchford, AN; Sanchis, JM				Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Letchford, Adam/0000-0002-3191-5006			A cutting plane algorithm for the General Routing Problem								MATHEMATICAL PROGRAMMING				90	2			291	316		10.1007/PL00011426					APR 2001	2001																		0025-5610	1436-4646		WOS:000168332800005		
J	Corberan, A; Mejia, G; Sanchis, JM				SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Corberan, Angel/0000-0002-0664-4232			New results on the mixed general routing problem								OPERATIONS RESEARCH				53	2			363	376		10.1287/opre.1040.0168					MAR-APR 2005	2005																		0030-364X			WOS:000228792000012		
J	Corberan, Angel; Mota, Enrique; Sanchis, Jose M.				Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122			A comparison of two different formulations for arc routing problems on mixed graphs								COMPUTERS & OPERATIONS RESEARCH				33	12			3384	3402		10.1016/j.cor.2005.02.010					DEC 2006	2006																		0305-0548	1873-765X		WOS:000238606300003		
J	Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				SANCHIS, JOSE M/H-5912-2015; Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232			Zigzag inequalities: a new class of facet-inducing inequalities for Arc Routing Problems								MATHEMATICAL PROGRAMMING				108	1			79	96		10.1007/s10107-005-0643-y					AUG 2006	2006																		0025-5610	1436-4646		WOS:000237563700004		
J	Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				SANCHIS, JOSE M/H-5912-2015; Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232			A branch & cut algorithm for the windy general routing problem and special cases								NETWORKS				49	4			245	257		10.1002/net.20176					JUL 2007	2007						International Workshop on Vehicle Routing, Intermodal TransportationInternational Workshop on Vehicle Routing, Intermodal Transportation	JUN 23-26, 2005JUN 23-26, 2005		Bertinoro, ITALYBertinoro, ITALY									0028-3045	1097-0037		WOS:000247353800002		
J	Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014; Plana, Isaac/H-6656-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232			The windy general routing polyhedron: A global view of many known arc routing polyhedra								SIAM JOURNAL ON DISCRETE MATHEMATICS				22	2			606	628		10.1137/050640886					2008	2008																		0895-4801	1095-7146		WOS:000256452900012		
J	CORNUEJOLS, G; FONLUPT, J; NADDEF, D								THE TRAVELING SALESMAN PROBLEM ON A GRAPH AND SOME RELATED INTEGER POLYHEDRA								MATHEMATICAL PROGRAMMING				33	1			1	27		10.1007/BF01582008					1985	1985																		0025-5610			WOS:A1985ATC7600001		
J	de Cordoba, PF; Raffi, LMG; Sanchis, JM				SANCHIS, JOSE M/H-5912-2015; Garcia-Raffi, L M/K-7369-2014; Fernandez de Cordoba, Pedro/L-2645-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Garcia-Raffi, L M/0000-0003-3985-8453; Fernandez de Cordoba, Pedro/0000-0002-0347-7280			A heuristic algorithm based on Monte Carlo methods for the rural postman problem								COMPUTERS & OPERATIONS RESEARCH				25	12			1097	1106							DEC 1998	1998																		0305-0548	1873-765X		WOS:000075747700007		
J	De Rosa, B; Improta, G; Ghiani, G; Musmanno, R					GHIANI, Gianpaolo/0000-0002-5243-1799			The arc routing and scheduling problem with transshipment								TRANSPORTATION SCIENCE				36	3			301	313		10.1287/trsc.36.3.301.7832					AUG 2002	2002																		0041-1655			WOS:000177581900004		
J	Dror, M; Haouari, M				Haouari, Mohamed/E-6786-2011	Haouari, Mohamed/0000-0003-0767-8220			Generalized Steiner problems and other variants								JOURNAL OF COMBINATORIAL OPTIMIZATION				4	4			415	436		10.1023/A:1009881326671					DEC 2000	2000																		1382-6905	1573-2886		WOS:000165089200002		
J	DROR, M; STERN, H; TRUDEAU, P								POSTMAN TOUR ON A GRAPH WITH PRECEDENCE RELATION ON ARCS								NETWORKS				17	3			283	294		10.1002/net.3230170304					FAL 1987	1987																		0028-3045			WOS:A1987J185700003		
J	Dror, M; Langevin, A				Langevin, Andre/L-6176-2019				A generalized traveling salesman problem approach to the directed clustered rural postman problem								TRANSPORTATION SCIENCE				31	2			187	192		10.1287/trsc.31.2.187					MAY 1997	1997																		0041-1655			WOS:A1997XF61700008		
J	EISELT, HA; GENDREAU, M; LAPORTE, G				Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			ARC ROUTING-PROBLEMS .2. THE RURAL POSTMAN PROBLEM								OPERATIONS RESEARCH				43	3			399	414		10.1287/opre.43.3.399					MAY-JUN 1995	1995																		0030-364X			WOS:A1995RM85100003		
J	EISELT, HA; GENDREAU, M; LAPORTE, G				Gendreau, Michel/M-6235-2018; Gendreau, Michel/N-7950-2019	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			ARC ROUTING-PROBLEMS .1. THE CHINESE POSTMAN PROBLEM								OPERATIONS RESEARCH				43	2			231	242		10.1287/opre.43.2.231					MAR-APR 1995	1995																		0030-364X			WOS:A1995RM57600004		
J	Feillet, D; Dejax, P; Gendreau, M				Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648; Feillet, Dominique/0000-0003-1246-223X			The profitable arc tour problem: Solution with a branch-and-price algorithm								TRANSPORTATION SCIENCE				39	4			539	552		10.1287/trsc.1040.0106					NOV 2005	2005																		0041-1655			WOS:000233836900010		
J	Fernandez, E; Meza, O; Garfinkel, R; Ortega, M				Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257			On the undirected Rural Postman Problem: Tight bounds based on a new formulation								OPERATIONS RESEARCH				51	2			281	291		10.1287/opre.51.2.281.12790					MAR-APR 2003	2003																		0030-364X			WOS:000182054000008		
J	FLEISCHMANN, B								A CUTTING PLANE PROCEDURE FOR THE TRAVELING SALESMAN PROBLEM ON ROAD NETWORKS								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				21	3			307	317		10.1016/0377-2217(85)90151-1					1985	1985																		0377-2217			WOS:A1985APY5900003		
S	Fleury, G; Lacomme, P; Prins, C				Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479	Raidl, GR		Evolutionary algorithms for stochastic arc routing problems								APPLICATIONS OF EVOLUTIONARY COMPUTING		LECTURE NOTES IN COMPUTER SCIENCE		3005				501	512							2004	2004						EvoWorkshops 2004 ConferenceEvoWorkshops 2004 Conference	APR 05-07, 2004APR 05-07, 2004	EvoNet; Univ CoimbraEvoNet; Univ Coimbra	Coimbra, PORTUGALCoimbra, PORTUGAL									0302-9743		3-540-21378-3	WOS:000189502700051		
J	Fleury, G; Lacomme, P; Prins, C; Ramdane-Cherif, W				Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479			Improving robustness of solutions to arc routing problems								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				56	5			526	538		10.1057/palgrave.jors.2601822					MAY 2005	2005																		0160-5682	1476-9360		WOS:000228357400007		
J	FREDERICKSON, GN								APPROXIMATION ALGORITHMS FOR SOME POSTMAN PROBLEMS								JOURNAL OF THE ACM				26	3			538	554		10.1145/322139.322150					1979	1979																		0004-5411			WOS:A1979HB93800011		
J	Fukasawa, R; Longo, H; Lysgaard, J; de Aragao, MP; Reis, M; Uchoa, E; Werneck, RF				Uchoa, Eduardo/F-7193-2011	Uchoa, Eduardo/0000-0002-8687-2613			Robust branch-and-cut-and-price for the capacitated vehicle routing problem								MATHEMATICAL PROGRAMMING				106	3			491	511		10.1007/s10107-005-0644-x					JUL 2006	2006																		0025-5610	1436-4646		WOS:000235573600007		
J	Garfinkel, RS; Webb, IR								On crossings, the crossing postman problem, and the rural postman problem								NETWORKS				34	3			173	180							OCT 1999	1999																		0028-3045			WOS:000082933100001		
J	Ghiani, G; Lagana, D; Musmanno, R				Lagana, Demetrio/Q-3039-2016	Lagana, Demetrio/0000-0003-2618-6715; GHIANI, Gianpaolo/0000-0002-5243-1799			A constructive heuristic for the undirected rural postman problem								COMPUTERS & OPERATIONS RESEARCH				33	12			3450	3457		10.1016/j.cor.2005.02.014					DEC 2006	2006																		0305-0548			WOS:000238606300007		
J	Ghiani, G; Musmanno, R; Paletta, G; Triki, C					GHIANI, Gianpaolo/0000-0002-5243-1799; Paletta, Giuseppe/0000-0001-8446-781X			A heuristic for the periodic rural postman problem								COMPUTERS & OPERATIONS RESEARCH				32	2			219	228		10.1016/S0305-0548(03)00213-2					FEB 2005	2005																		0305-0548			WOS:000224335700002		
J	Ghiani, G; Improta, G					GHIANI, Gianpaolo/0000-0002-5243-1799			The laser-plotter beam routing problem								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				52	8			945	951		10.1057/palgrave.jors.2601161					AUG 2001	2001						Annual Conference of the Operational-Research-SocietyAnnual Conference of the Operational-Research-Society	SEP 12-14, 2000SEP 12-14, 2000	Operat Res SocOperat Res Soc	SWANSEA, WALESSWANSEA, WALES									0160-5682			WOS:000170260700011		
J	Ghiani, G; Laporte, G					GHIANI, Gianpaolo/0000-0002-5243-1799			A branch-and-cut algorithm for the Undirected Rural Postman Problem								MATHEMATICAL PROGRAMMING				87	3			467	481		10.1007/s101070050007					MAY 2000	2000																		0025-5610			WOS:000087422900007		
J	Ghiani, G; Improta, G; Laporte, G					GHIANI, Gianpaolo/0000-0002-5243-1799			The capacitated arc routing problem with intermediate facilities								NETWORKS				37	3			134	143		10.1002/net.3					MAY 2001	2001																		0028-3045			WOS:000168143000003		
J	Ghiani, G; Improta, G					GHIANI, Gianpaolo/0000-0002-5243-1799			An algorithm for the hierarchical Chinese postman problem								OPERATIONS RESEARCH LETTERS				26	1			27	32		10.1016/S0167-6377(99)00046-2					FEB 2000	2000																		0167-6377	1872-7468		WOS:000084919200005		
J	GOLDEN, BL; DEARMON, JS; BAKER, EK								COMPUTATIONAL EXPERIMENTS WITH ALGORITHMS FOR A CLASS OF ROUTING-PROBLEMS								COMPUTERS & OPERATIONS RESEARCH				10	1			47	59		10.1016/0305-0548(83)90026-6					1983	1983																		0305-0548	1873-765X		WOS:A1983QA69900006		
J	GOLDEN, BL; WONG, RT								CAPACITATED ARC ROUTING-PROBLEMS								NETWORKS				11	3			305	315		10.1002/net.3230110308					1981	1981																		0028-3045			WOS:A1981MB66000007		
J	Greistorfer, P								A tabu scatter search metaheuristic for the arc routing problem								COMPUTERS & INDUSTRIAL ENGINEERING				44	2			249	266	PII S0360-8352(02)00178-X	10.1016/S0360-8352(02)00178-X					FEB 2003	2003																		0360-8352	1879-0550		WOS:000180810600004		
J	Gribkovskaia, Irina; Halskau, Oyvind, Sr.					Gribkovskaia, Irina/0000-0002-0078-3426			The bridges of Konigsberg - A historical perspective								NETWORKS				49	3			199	203		10.1002/net.20159					MAY 2007	2007																		0028-3045	1097-0037		WOS:000245635200003		
J	GROTSCHEL, M; ZAW, W								A CUTTING PLANE ALGORITHM FOR THE WINDY POSTMAN PROBLEM								MATHEMATICAL PROGRAMMING				55	3			339	358		10.1007/BF01581206					JUL 6 1992	1992																		0025-5610	1436-4646		WOS:A1992JA90400005		
J	Groves, GW; le Roux, J; van Vuuren, JH								On a routing and scheduling problem concerning multiple edge traversals in graphs								NETWORKS				46	2			69	81		10.1002/net.20073					SEP 2005	2005																		0028-3045	1097-0037		WOS:000231128800002		
B	Hertz, A						Golumbic, MC; Hartman, IBA		Recent trends in arc routing								GRAPH THEORY, COMBINATORICS AND ALGORITHMS: INTERDISCIPLINARY APPLICATIONS								215	236							2005	2005						Haifa Workshop on Interdisciplinary Applications of Graph Theory, Combinatorics and AlgorithmsHaifa Workshop on Interdisciplinary Applications of Graph Theory, Combinatorics and Algorithms	JUN 17-20, 2002JUN 17-20, 2002	Caesarea Edmond Benjamin Rothschild FdnCaesarea Edmond Benjamin Rothschild Fdn	Caesarea Rothschild Inst, Haifa, ISRAELCaesarea Rothschild Inst, Haifa, ISRAEL											0-387-24347-X	WOS:000231730800009		
J	Hertz, A; Laporte, G; Hugo, PN								Improvement procedures for the undirected rural postman problem								INFORMS JOURNAL ON COMPUTING				11	1			53	62		10.1287/ijoc.11.1.53					WIN 1999	1999																		1091-9856	1526-5528		WOS:000083228600005		
J	Hertz, A; Laporte, G; Mittaz, M								A tabu search heuristic for the capacitated arc routing problem								OPERATIONS RESEARCH				48	1			129	135		10.1287/opre.48.1.129.12455					JAN-FEB 2000	2000																		0030-364X			WOS:000086464300012		
J	Hertz, A; Mittaz, M								A variable neighborhood descent algorithm for the undirected capacitated arc routing problem								TRANSPORTATION SCIENCE				35	4			425	434		10.1287/trsc.35.4.425.10431					NOV 2001	2001																		0041-1655			WOS:000172770400007		
J	Irnich, S					Irnich, Stefan/0000-0001-9383-4546			A note on postman problems with zigzag service								INFOR				43	1			33	39							FEB 2005	2005																		0315-5986			WOS:000235618000003		
J	Irnich, Stefan					Irnich, Stefan/0000-0001-9383-4546			Undirected postman problems with zigzagging option: A cutting-plane approach								COMPUTERS & OPERATIONS RESEARCH				35	12			3998	4009		10.1016/j.cor.2007.07.002					DEC 2008	2008																		0305-0548	1873-765X		WOS:000256256900019		
J	Irnich, Stefan					Irnich, Stefan/0000-0001-9383-4546			Solution of real-world postman problems								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				190	1			52	67		10.1016/j.ejor.2007.06.002					OCT 1 2008	2008																		0377-2217	1872-6860		WOS:000255820700004		
J	Korteweg, P; Volgenant, T				Volgenant, Anton/A-4004-2008				On the Hierarchical Chinese Postman Problem with linear ordered classes								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				169	1			41	52		10.1016/j.ejor.2004.06.003					FEB 16 2006	2006																		0377-2217	1872-6860		WOS:000232383100003		
