"year_cite","journal_cite","journal_final","max_score","journal"
"2015"," AIP CONF PROC","AIP CONFERENCE PROCEEDINGS","67"," INTERNATIONAL CONFERENCE ON MATHEMATICS, ENGINEERING AND INDUSTRIAL APPLICATIONS 2014 (ICOMEIA 2014)"
"2008"," STUD COMPUT INTELL","STUDIES IN COMPUTATIONAL INTELLIGENCE","65"," ADVANCES IN COMPUTATIONAL INTELLIGENCE IN TRANSPORT, LOGISTICS, AND SUPPLY CHAIN MANAGEMENT"
"2016"," TRANSP RES PROC","TRANSPORTATION RESEARCH PROCEDIA","64"," TRANSPORT RESEARCH ARENA TRA2016"
"2010"," 2010 IEEE C EV COMP","IEEE CONGRESS ON EVOLUTIONARY COMPUTATION","64"," 2010 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)"
"2015"," CIM SER MATH SCI","CIM SERIES IN MATHEMATICAL SCIENCES","63"," OPERATIONAL RESEARCH: IO 2013 - XVI CONGRESS OF APDIO"
"2013"," P 2013 IEEE C EV COM"," 2013 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)","62"," 2013 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)"
"2009"," P 2009 IEEE C EV COM","IEEE CONGRESS ON EVOLUTIONARY COMPUTATION","62"," 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5"
"2008"," STUD COMP INTELL","STUDIES IN COMPUTATIONAL INTELLIGENCE","60"," ADVANCES IN COMPUTATIONAL INTELLIGENCE IN TRANSPORT, LOGISTICS, AND SUPPLY CHAIN MANAGEMENT"
"2009"," IEEE C EVOL COMPUTAT","IEEE CONGRESS ON EVOLUTIONARY COMPUTATION","59"," 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5"
"2005"," IN PRESS OPERATIONS"," OPER RES","59"," OPER RES"
"2008"," OPERAT RES COMP SCI","OPERATIONS RESEARCH COMPUTER SCIENCE INTERFACES","58"," VEHICLE ROUTING PROBLEM: LATEST ADVANCES AND NEW CHALLENGES"
"2009"," IEEE INTL CONF CONTR","IEEE INTERNATIONAL CONFERENCE ON CONTROL APPLICATIONS","55"," 2009 IEEE CONTROL APPLICATIONS CCA \& INTELLIGENT CONTROL (ISIC), VOLS 1-3"
"2010"," IEEE C EV COMP","IEEE CONGRESS ON EVOLUTIONARY COMPUTATION","44"," 2010 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)"
